text,badge_color,prob_toxic,prob_severe_toxic,prob_obscene,prob_threat,prob_insult,prob_identity_hate,pred_toxic,pred_severe_toxic,pred_obscene,pred_threat,pred_insult,pred_identity_hate
"Pain tolerance isn't something you can control. There's no award for high pain tolerance. It doesn't make one braver or a better person. So if you think a patient has low pain tolerance you *treat their pain* because pain management is an essential part of medical care. We're in 2025 ffs, to hell with that medieval bullshit.",red,0.9068337678909302,0.01464021485298872,0.7958362698554993,0.0024705000687390566,0.2330058068037033,0.007858527824282646,1,0,1,0,0,0
"I've never read the sentence ""Pain tolerance isn't something you can control.""

It's just. So. True. So fucking true. 

Thank you!",red,0.8936602473258972,0.019864631816744804,0.8626103401184082,0.0021692693699151278,0.046313684433698654,0.0016824292251840234,1,0,1,0,0,0
"Meanwhile I, a massage therapist, learned this during my massage training. 

There are a myriad of pain and pressure receptors and they don’t all necessarily fire in concert with one another.",green,0.000717693183105439,0.00011584773164940998,0.00018151324184145778,0.00012150584370829165,0.00017537495295982808,0.00013491323625203222,0,0,0,0,0,0
I dealt with little old ladies asking for more pressure when I was pressing my hardest and linebacker shaped men in their mid 30s saying ouch ease up when I was putting barely any. Its not a moral judgment and doesn't line up with any lines I could think of,green,0.0019946403335779905,8.535943925380707e-05,0.0002051308547379449,9.022005542647094e-05,0.00025830866070464253,0.00015671852452214807,0,0,0,0,0,0
"I have spots where I can happily take someone’s full body weight, and others where any more pressure than a cat stepping is agony. Even on the same body it varies wildly.",green,0.0012657582992687821,0.00010522788215894252,0.00017729269166011363,0.00012126705405535176,0.00019791681552305818,0.0001634972868487239,0,0,0,0,0,0
I have the worst problems during a session when I tense up... and get told to relax. How the hell do you relax a muscle group i have no idea existed!?,green,0.26518893241882324,0.0006672642775811255,0.04691576212644577,0.0004472380387596786,0.007407518103718758,0.0004489750135689974,0,0,0,0,0,0
Yeah “relax” is definitely a word I avoid in my practice.,green,0.0009164760704152286,0.00010768718493636698,0.00020531911286525428,0.00010045350063592196,0.000175680237589404,0.00013260042760521173,0,0,0,0,0,0
"If you want to get technical there is some control, but I don't think it's reasonable for women to be Shaolin monks muff-punching a rock 1000 times a day to prepare for IUD battle.

I think pain management is the much better solution.",green,0.0014356902102008462,9.722919639898464e-05,0.00019039535254705697,0.00010565984121058136,0.00020806076645385474,0.0001703341695247218,0,0,0,0,0,0
I want to thank you for the snort I just laughed reading this,green,0.0009007650660350919,0.00010819689487107098,0.00020424093236215413,0.00010466128151165321,0.0001827912055887282,0.00013548046990763396,0,0,0,0,0,0
"> If you think a patient has low pain tolerance, you *treat their pain*

I'm angry that this felt like a revelation to me.  I never considered that the solution to being in pain was just to treat it, and I hate that.",green,0.056362055242061615,0.00015845948655623943,0.0014747108798474073,0.0004967675195075572,0.0011190088698640466,0.0004345737397670746,0,0,0,0,0,0
"It took me *years* to find a dentist with that mentality. If I say something hurts, she adds more numbing injection. I don't understand why it's that hard, but multiple people had told me before ""you shouldn't feel that."" and just kept going.",green,0.008195498958230019,0.00010775220289360732,0.000519288529176265,0.00015512089885305613,0.0004572969919536263,0.00022408495715353638,0,0,0,0,0,0
"This exactly, pain tolerance is not something we can do much about ourselves but people seem to talk about it like it’s some kind of personal weakness in the same way a lot of people still view mental health issues as a weakness. Like, people literally hate being in both emotional and physical pain, why on Earth do they think anyone would just do nothing to change their pain level if they had the ability to?

That said, when I had my IUD removed and a new one inserted it was the most pain I have ever experienced. Worse for me than bone, breaks, sprains, concussions, etc. I also sort of wonder if regardless of pain tolerance, different types of pain are different for everyone.",green,0.0022285401355475187,0.00010009683319367468,0.00024396934895776212,0.00011796296166721731,0.00022071556304581463,0.00017913331976160407,0,0,0,0,0,0
"I have had a lot of gynecology procedures and I think the same things actually just create more pain for some people. OP hasn’t had kids which we know usually makes IUD insertion more painful. Your particular anatomy, time of the month, and possibly other conditions you have can change how much it hurts. 

I actually DO have a high pain tolerance and some of these procedures have been really bad for me.",green,0.013394109904766083,0.0001179221217171289,0.0008770486456342041,0.00020054358174093068,0.0006577366730198264,0.00024216216115746647,0,0,0,0,0,0
Of course they've been bad.  There are THREE major pain nerves that run through the cervix.  Even people with high thresholds will feel pain during these kinds of procedures.  It frustrates the hell out of me that we women aren't taught enough about our own anatomy.,green,0.14874514937400818,0.0004695092502515763,0.007558510638773441,0.0006078128353692591,0.004556531086564064,0.0031716241501271725,0,0,0,0,0,0
"Was a bit surprised I had to make it this far to get to a comment mentioning the fact OP hasn’t had children and that we know that makes IUD insertion more painful. What’s especially insane to me is that I’m not that much older than OP, only around a decade, and I remember when IUDs were literally not even considered an option in women, especially younger ones, who had never had a pregnancy. We didn’t even think it was safe to do not all that long ago and also let this speak to how lacking the research is on female bodies and anatomy! 

For gosh sake, as a case in point, it wasn’t until sometime in the 1990s- not a typo, literally the NINETEEN NINETIES so within my own dang lifetime and that of many reading this- that we had even properly recognized and mapped out clitoral anatomy and that the clitoris isn’t just the little nub with a hood that’s visible above the labia minora, but actually a far larger and more complex structure. Gosh, we still have people doing studies today on IUD insertion and pain and it’s a fact that different countries tend to carry different views around pain management for the procedure. And oh hey, no surprise, the US tends to do less whereas the numbing and things OP only learned about too late is the unquestioned standard of practice in many places- even for women who have had pregnancy or prior uncomplicated IUD insertions- to numb the cervix and manage the patients pain. 

It literally wasn’t that long ago that we not only didn’t even generally give IUDs to folks who had never had a pregnancy (there also were only like two options for IUD on the market back then and I believe there were serious issues with one that was pulled from the market. So we are also in general, discussing fairly new, as far as medical management and pregnancy prevention goes products. But given just how popular IUDs have become it’s also not a surprise to any gynecologist that some women find them incredibly painful!) but they actually used to find the most ideal and easiest time to place them was shortly after a woman gave birth. I knew folks who 15 or so years ago  (was heavily encouraged- and we can judge this however one wishes. It’s not a great look either…in low income, aka Medicaid patients, who had pregnancies at younger ages or no doubt too, when unmarried…). So at a point when the cervix was already more open than typical.

I feel pissed off for OPs sake and the more I typed and thought this one out, the more angry I got. I was recalling that not only am I not that much older but I also have a lifelong history of extremely painful and problematic periods but also PCOS so severe that even though ultrasound techs aren’t supposed to tell patients what they see until a doctor reads the results and all- techs can’t help but comment on how severe and obvious my PCOS is because my ovaries are literally 4x normal size with all the cysts. 


Which is where I recalled that it was a female ER doc who blew me off and sent me home from the ER without so much as an ultrasound (she basically brushed it off as unnecessary because I’d been in the ER several times before for ruptured ovarian cysts which itself is very painful and which I recall upsetting my gyn at the time when I was refusing to be seen even if I knew o ruptured a cyst because the view was even then, you need to be promptly examined to make sure it was merely an uncomplicated cyst and nothing more serious. Literally I would even call this gyn while in this pain and be told if I was in that much pain and it wasn’t subsiding I needed an ER not a gyn appt!) with me literally unable to walk going “No, I know I rupture cysts a lot and this pain isn’t *that* I think something is really, seriously wrong.” I had ovarian torsion. My ovary was twisted around on itself twice and I’m only lucky that it likely was repeatedly twisting and untwisting (if it had remained twisted as severely as it was finally found to be, the tissue could’ve begun to die from lack of blood flow and I could’ve developed a serious infection and complications that would’ve killed me!).

Instead I just effing tolerated- was lucky the medical view on pain management hasn’t yet become what it is (another topic that gets me enraged and I think is incredibly valid in this discussion too. Since even when opiates were more freely used or used at all, women and especially young women or People of Color and other minorities, were well known for having their pain- from any source- under treated and dismissed. I strongly suspect we’ve only moved backwards yet again in this respect!) and was on substantial amounts of opiate pain meds for a myriad of very serious and life limiting medical conditions. 

Even then I was taking way more pain meds and just lived for several WEEKS in disabling pain with torsion. Which could’ve literally killed me…. So fuck bad doctors. Especially those who have ovaries themselves and who tell young menstruating women they’re just being “dramatic”. Grrrr. I literally used to sometimes be grateful to have a male doc in the ER because while they would likely downplay my pain, as soon as a ruptured cyst was diagnosed, it was actually the men who often treated me best and would be getting me pain meds asap apologizing and remarking that oh hey, ruptured cysts are serious. Well torsion was a level far beyond that. Still some of the absolute worst pain of my life to this day and I’ve been through some wild things medically.",green,0.16250143945217133,0.000246714596869424,0.007729132194072008,0.0004329619405325502,0.006318485829979181,0.0007931050495244563,0,0,0,0,0,0
I am *heavily* tattooed and DON'T YOU DARE TOUCH MY TEETH WITHOUT NUMBING ALL THE THINGS!!!,yellow,0.3839963674545288,0.0012449275236576796,0.011950447224080563,0.010632026940584183,0.0030136166606098413,0.0013709199847653508,0,0,0,0,0,0
"Oh my gosh yes, leave my teeth alone!! I have birthed a full-term baby with zero pain meds, but the worst pain I’ve had in my life was the time my dentist put a crown on an un-numbed still-living tooth. The assistant screwed up the adhesive, so they had to remove the crown and *scrape the glue* off my tooth before reattempting placement. I thought I was going to pass out! I said never again, if I need anything done in there, numb me the hell up!!",red,0.7813553810119629,0.0029658686835318804,0.052229251712560654,0.020388050004839897,0.01767851412296295,0.0018958100117743015,1,0,0,0,0,0
"I was just saying this morning that I did very well after my c-section whereas a lot of women are in a ton of pain. 
Now my laparoscopic gallbladder surgery had me in excruciating pain for 8 days. ",green,0.03785340115427971,0.00019908421381842345,0.002510837512090802,0.00027093160315416753,0.0011689679231494665,0.0004951218725182116,0,0,0,0,0,0
"Yeah, and if you have too much pain tolerance it gets dangerous. Pain isn’t the enemy, it’s your physical cue to stop doing that. Sometimes we have to endure it but it shouldn’t be discounted or ignored, especially by a doctor!",green,0.025296159088611603,0.00011785254173446447,0.0006834306987002492,0.000319338112603873,0.0011261157924309373,0.00033301356597803533,0,0,0,0,0,0
"I feel this. I have a stupid high pain tolerance. And boy oh boy, I can ""mind over matter"" just about anything. I convinced myself I had arthritis in my lower back... Turns out I had worn a disc down to nothing and the vertebrae was just floating around, while I was still running 3 miles a day.. 

IUD insertion is one of the worst pains I've felt. I have tattoos all over, and I will reiterate; IUD IS THE WORST PAIN.  
I am absolutely pissed at your doctor for making you feel that way.",yellow,0.3767697215080261,0.0010045493254438043,0.11443456262350082,0.0008378061465919018,0.019996043294668198,0.0009368887986056507,0,0,0,0,0,0
"I've had several kidney stones, the first one when I was 14. When I had a kidney stone in my 20s, I knew exactly what it was and went to the ER. The triage nurse asked me to rate my pain on a scale of 0-10, and I'm sitting there thinking ""Is this like a 7 or an 8? It's terrible but I can imagine worse pain..."" and she said before I could answer ""It's an 11, right?"" and I just nodded. I had a blood clot in my calf for 3 months before I went to a doctor, it was terrible. Anyway, fairly high pain tolerance here. The IUD I had inserted was the worst pain ever. Fortunately my doctor gave me a lidocaine shot and did not imply that my pain was my fault or me being overly dramatic. That is enraging for OP and I'm so sorry you went through that.",green,0.0014367116382345557,0.00012202997459098697,0.0002745766250882298,0.00013182031398173422,0.00021265141549520195,0.00017776258755475283,0,0,0,0,0,0
"I hate the ""rate your pain using this arbitrary number"" nonsense that we do.",red,0.5239898562431335,0.0004783861804753542,0.007768978364765644,0.0014661302557215095,0.011464380659162998,0.0011733185965567827,1,0,0,0,0,0
"Yeah and even with the kidney stones I think it's a pro forma question. They never hesitate to start giving IV pain killers ASAP with the stones because they know it's horribly painful. Of course men get kidney stones so gotta treat them seriously. When only women/AFAB need IUDs, of course the pain is no big deal just get over it already. It is especially bad that this attitude also comes from women physicians.",green,0.03127388656139374,0.0003051716776099056,0.0020205171313136816,0.0003207101544830948,0.002142404904589057,0.0024281784426420927,0,0,0,0,0,0
"Especially because it is entirely subjective. Someone who's never gotten seriously hurt might describe a 10 one way whereas someone who's felt paint that renders you unconscious would definitely have a different barometer. Like I've described my contractions as a 7 but I've also had surgical procedures done where the anesthesia didn't take effect so if I'm not blacking out, it's not a 10 even if it hurts a lot.",green,0.0014729396207258105,9.947244689101353e-05,0.00022061793424654752,0.00011760769848478958,0.00019929255358874798,0.00014217050920706242,0,0,0,0,0,0
"This is why I like the Mankoski Pain Scale because it gives more information on what makes pain land where: https://imgur.com/mankoski-pain-scale-tKcfx1O

Otherwise I spend more time dithering about whether something's a 4 or a 5 than actually getting treatment.",green,0.0009494586265645921,0.00010833224223461002,0.0001991753524634987,0.00011847406130982563,0.00017706360085867345,0.00013593507173936814,0,0,0,0,0,0
"Yup, the reward for having a high pain tolerance is just .... More pain. It's not really something to aspire to. 


And everyone will be different on what TYPE of pain they have a tolerance for, or maybe their body will produce adrenaline and take protective measures during different situations. 


I've broken bones and managed to muscle through and get myself to the hospital, but I've also been absolutely leveled by a headache and fever. You really can't control when and where your body will just ""handle"" this kind of shit. 


And an IUD? Hell no. It hurts. Every time. ",red,0.6897270679473877,0.00445470679551363,0.549394965171814,0.0014056077925488353,0.048491645604372025,0.00183585484046489,1,0,1,0,0,0
"Right?  Like, opening your cervix to forcefully stick something in it is unnatural and will cause pain!  Why do they refuse to admit simple logic?",green,0.028369752690196037,0.00011751845886465162,0.0006664164247922599,0.0003355568624101579,0.0009576086304150522,0.0004462122160475701,0,0,0,0,0,0
